Compute Time (ms),Total Expected Value (Precise),Total Expected Value (ROC)
4587.0,0.24583134725504519,0.24437368483695468,
3.0,0.22337307437160003,0.22266556135273757,
2221.0,0.3227758165764445,0.32280776007790407,
0.0,0.32475777864012206,0.32511591677288976,
15.0,0.3306436010714155,0.3309542859630337,
32.0,0.27362033703804983,0.27356744945860184,
15.0,0.10518845220795033,0.10539375182567877,
0.0,0.07566880976721449,0.07575732599709352,
432.0,0.4765227914169524,0.47403744912451995,
2.0,0.11168366493455585,0.11168754331302704,
585.0,0.4578624899067724,0.45388866945855577,
555.0,0.4189135448717518,0.4175757755973564,
569.0,0.5316641104896628,0.5310620176760628,
17.0,0.2668535691286523,0.2668465559532394,
633.0,0.31481688493358506,0.3150336336507402,
0.0,0.0878998340897277,0.08812748791974197,
639.0,0.35423843164381724,0.3574350894046729,
22.0,0.328864331213451,0.3291046059288338,
655.0,0.516293689742692,0.5151111110325802,
3810.0,0.3558189456419856,0.35596766521438394,
655.0,0.08520413862946813,0.085072233196399,
15.0,0.06654469030005168,0.06663202246601936,
3.0,0.20707049076626444,0.20769868854506535,
631.0,0.2742132407094531,0.2712336665482849,
702.0,0.09321377178772386,0.09316657489800044,
668.0,0.4252839539328698,0.42450867068474846,
15.0,0.27454651523314405,0.27481062573457976,
0.0,0.09343650020933703,0.0936051294970571,
16.0,0.3361162068332195,0.3361781774501929,
3007.0,0.5195179577380244,0.5197625489341564,
1021.0,0.35282509470396956,0.35070002470390127,
0.0,0.21769839595171545,0.2176079746738354,
16.0,0.2807675196823837,0.27976266010154843,
18.0,0.2774239937660479,0.27729780178097124,
1017.0,0.18970968915080313,0.18985408397803985,
2.0,0.2919922813007109,0.2919920350014373,
3654.0,0.45830524920639143,0.45825956977145593,
7.0,0.31262488028012075,0.3134692808297635,
640.0,0.502049022279601,0.5020073945494511,
16.0,0.08022775463686707,0.08044459476949258,
2922.0,0.4505999898503738,0.4503327276272113,
2410.0,0.48801416543421144,0.48766166369716357,
2758.0,0.26491725415212913,0.2649315503182051,
2536.0,0.43184101001655845,0.4315695941019268,
22.0,0.08257311831775388,0.08257865469265646,
16.0,0.08950858205474332,0.08944696428844164,
3979.0,0.2683747191244338,0.2672743085981948,
870.0,0.34424555257198536,0.3445128908402084,
4378.0,0.0925096524667726,0.09254211079275584,
5.0,0.12352830449419976,0.12331151309343065,
632.0,0.31467545641311134,0.3144346234355634,
2803.0,0.3491874985745696,0.34875695983694643,
3839.0,0.2682160162643777,0.26771658377414675,
0.0,0.2593652705548427,0.2591964970060928,
3654.0,0.2957348515534208,0.29499212489447163,
31.0,0.07295175401236342,0.0730461934057781,
0.0,0.22852796549670398,0.22916619158757037,
0.0,0.25731866792026603,0.2572413731096219,
524.0,0.556487803124455,0.5563735252478773,
0.0,0.09189253001481047,0.09200763235801807,
15.0,0.22281812438363963,0.22283273165879824,
16.0,0.11442693657644235,0.11470202768090035,
16.0,0.0876182343527593,0.08763034547235383,
2490.0,0.35868454141576633,0.352461987252611,
637.0,0.5189531219081241,0.5179911842173439,
3589.0,0.2751071206255123,0.272187026565869,
0.0,0.27667145429847007,0.2765122473629779,
424.0,0.3587138443921079,0.3588887850333879,
0.0,0.06845347367330504,0.0684588938140901,
16.0,0.08961879374115465,0.08952698750459738,
16.0,0.0722740450631141,0.07230116162613072,
16.0,0.34911897651121016,0.34924310617114784,
2.0,0.28325472838760346,0.28320928449376764,
22.0,0.26830621611155414,0.26798940456082965,
3508.0,0.248996022599346,0.248719644242068,
4177.0,0.4595406968710031,0.45919422798067355,
0.0,0.2993755223218999,0.2993632269604156,
4142.0,0.08958594466527023,0.08949366861458652,
662.0,0.2114068578562443,0.2114431692512407,
2944.0,0.40291380996289683,0.4020071738682863,
601.0,0.27864128236778507,0.2750604849409507,
0.0,0.316097368097738,0.31639374546554244,
0.0,0.1113310513003877,0.11199207501695702,
3939.0,0.36091298741385064,0.36049213070610864,
15.0,0.3198179317893012,0.31989239026780714,
639.0,0.421052037446315,0.41727148820198456,
3827.0,0.4235540553701011,0.42352837060263415,
0.0,0.06165871178532358,0.06283664461506336,
15.0,0.103445488780761,0.10332076865824413,
722.0,0.08880829787238055,0.08895551066915706,
2489.0,0.5054034147073034,0.5057851054778013,
15.0,0.2137740022276141,0.214126546472196,
447.0,0.29896373123524494,0.29653463221542903,
1003.0,0.3450484513489939,0.3448974977520013,
399.0,0.4657612917052455,0.4674687849030902,
3709.0,0.3808250444016087,0.3778181186393523,
3842.0,0.10607558966509915,0.10637137548908662,
25.0,0.32447662187495296,0.32448275980936603,
686.0,0.26741660460585664,0.2673707236816618,
0.0,0.11113771381402814,0.11076480994067874,
480.0,0.4444495449541305,0.43928595812393006,
633.0,0.5185028072393149,0.5181200097567124,
17.0,0.09980380322253407,0.09981216933296579,
0.0,0.10311194973476061,0.10325672344050817,
16.0,0.26972270647244356,0.26911015980911085,
3812.0,0.10824343863590619,0.10830717638678856,
0.0,0.29217525049532683,0.29437604336872464,
3979.0,0.26855907231766857,0.26791282966587915,
32.0,0.10844908952538704,0.1085828941552571,
554.0,0.5327263746099347,0.5320887062844007,
0.0,0.0963942105934585,0.0963611438954902,
2473.0,0.4534803946822059,0.4529654877126788,
15.0,0.07656759567868411,0.07664108209381151,
0.0,0.10569301123956953,0.10576870497038968,
0.0,0.2779669835625378,0.277986094903327,
3.0,0.07066539604520593,0.07069264487869652,
15.0,0.0992261643146444,0.09841837249615888,
0.0,0.09284632374229917,0.09292801469270827,
0.0,0.2673826231128586,0.26721531308804886,
2320.0,0.3472990507925771,0.34414656202840915,
502.0,0.386913872466681,0.3862229469512057,
655.0,0.5382061573286931,0.5381378820239098,
4102.0,0.29457185173038614,0.2949148940691964,
4193.0,0.31919926972745116,0.31917888831736035,
3186.0,0.2203043769432375,0.22099064021686193,
20.0,0.2163521836646449,0.21637467984210934,
15.0,0.08809840997079503,0.08808680863644926,
16.0,0.32375101404669787,0.32380908715186274,
491.0,0.44875319267776365,0.4502823024825802,
15.0,0.09753099884947335,0.09760338977188777,
633.0,0.35192541624707485,0.35110147669950387,
587.0,0.2799438785972055,0.2777465800368046,
