Compute Time (ms),Total Expected Value (Precise),Total Expected Value (ROC)
1136.0,0.3067826036916314,0.31715303490021907,
711.0,0.4650353992391681,0.4605045367513852,
501.0,0.3941706087171575,0.3999639098772862,
517.0,0.3966424498102709,0.34976929245636035,
532.0,0.4347618005337528,0.4311051927403724,
22092.0,0.5143433236864142,0.5137360240595549,
540.0,0.5260544801036653,0.528220577288414,
459.0,0.596379905222304,0.5978311920871646,
21208.0,0.24435886442188587,0.24373330064267165,
27311.0,0.3590538270770498,0.3597300142153044,
21397.0,0.538530890696622,0.5378393699591395,
39392.0,0.3618132441223281,0.35934998149891084,
17781.0,0.4248386817000654,0.41926986433905133,
23353.0,0.30300064077095745,0.3027712942175167,
457.0,0.5350575853237249,0.5453023353222382,
442.0,0.4632597920886615,0.48750532857711465,
27796.0,0.4282546686124029,0.42933010759633805,
47762.0,0.0746677964981768,0.07473270945801648,
496.0,0.46972911441747306,0.47690702160592646,
22053.0,0.5412940949427933,0.5412127724797873,
454.0,0.5648871597420038,0.5601782792598617,
452.0,0.48824518965945457,0.4825018463019717,
51850.0,0.34623646361569077,0.34543500352648016,
29205.0,0.3533245538405778,0.35347237605305803,
370.0,0.3381633651275784,0.3422151850996754,
29214.0,0.5556960816789938,0.5557368732419803,
380.0,0.5140214487553524,0.5174549108323305,
400.0,0.5331241378306247,0.5348028692385929,
38.0,0.27448192359691015,0.2743926305189023,
517.0,0.5493189641184609,0.5462652940964944,
49252.0,0.1166986935845607,0.11656265557157268,
22.0,0.2265516026539842,0.22690968886629126,
38556.0,0.17089606685592096,0.1687162948144836,
32717.0,0.35168999438022175,0.35473069978916777,
436.0,0.3783871709663402,0.37065489203173246,
20877.0,0.5448259660345031,0.5442459809077324,
380.0,0.43197289892599,0.43498196862390404,
48292.0,0.16973242830782864,0.1700172697250679,
23154.0,0.3073530267704749,0.307157706767335,
23304.0,0.45098724939792206,0.45154683475381574,
